"Domain Zone","# of domains","In Public Suffix","Whois","% of TLD"
"a.se","188","Yes","Yes","<1% of se"
"ab.ca","1610","Yes","Yes","<1% of ca"
"abkhazia.su","11","No","Yes","<1% of su"
"ac.at","1271","Yes","Yes","<1% of at"
"ac.be","30","Yes","Yes","<1% of be"
"ac.cn","77572","Yes","No","1% of cn"
"ac.fj","17","No","No","2% of fj"
"ac.il","97","Yes","No","<1% of il"
"ac.im","4","Yes","Yes","<1% of im"
"ac.in","4075","Yes","Yes","<1% of in"
"ac.ir","1503","Yes","No","1% of ir"
"ac.jp","3558","Yes","Yes","<1% of jp"
"ac.ke","299","No","Yes","4% of ke"
"ac.kr","1189","Yes","Yes","<1% of kr"
"ac.me","105","Yes","No","<1% of me"
"ac.mw","16","Yes","No","2% of mw"
"ac.nz","1118","Yes","Yes","<1% of nz"
"ac.pg","47","No","No","3% of pg"
"ac.pr","4","Yes","Yes","1% of pr"
"ac.se","34","Yes","Yes","<1% of se"
"ac.sz","27","Yes","No","3% of sz"
"ac.uk","4284","Yes","Yes","<1% of uk"
"ac.vn","93","Yes","No","<1% of vn"
"ad.jp","225","Yes","Yes","<1% of jp"
"adm.br","896","Yes","Yes","<1% of br"
"adv.br","7682","Yes","Yes","<1% of br"
"adygeya.ru","11","Yes","Yes","<1% of ru"
"adygeya.su","3","Yes","Yes","<1% of su"
"agr.br","397","Yes","Yes","<1% of br"
"agro.pl","218","Yes","Yes","<1% of pl"
"ah.cn","494","Yes","No","<1% of cn"
"aichi.jp","75","Yes","Yes","<1% of jp"
"ak.us","22","Yes","Yes","<1% of us"
"aktyubinsk.su","3","No","Yes","<1% of su"
"al.us","41","Yes","Yes","<1% of us"
"aland.fi","183","Yes","Yes","<1% of fi"
"ar.us","37","Yes","Yes","<1% of us"
"arkhangelsk.su","7","Yes","Yes","<1% of su"
"armenia.su","5","No","Yes","<1% of su"
"arq.br","1669","Yes","Yes","<1% of br"
"art.br","4000","Yes","Yes","<1% of br"
"art.pl","4394","Yes","Yes","<1% of pl"
"arts.ro","48","Yes","Yes","<1% of ro"
"ashgabad.su","4","No","Yes","<1% of su"
"asn.au","2675","Yes","Yes","<1% of au"
"asso.fr","4219","Yes","Yes","<1% of fr"
"at.ua","5174","No","Yes","1% of ua"
"auto.pl","512","Yes","Yes","<1% of pl"
"av.tr","1430","Yes","Yes","1% of tr"
"az.us","53","Yes","Yes","<1% of us"
"azerbaijan.su","3","No","Yes","<1% of su"
"balashov.su","4","Yes","Yes","<1% of su"
"bashkiria.ru","20","Yes","Yes","<1% of ru"
"bashkiria.su","16","Yes","Yes","<1% of su"
"bbs.tr","106","Yes","Yes","<1% of tr"
"bc.ca","2402","Yes","Yes","<1% of ca"
"bd.se","11","Yes","Yes","<1% of se"
"bel.tr","1952","Yes","Yes","1% of tr"
"beskidy.pl","502","Yes","Yes","<1% of pl"
"bialystok.pl","1616","Yes","Yes","<1% of pl"
"bieszczady.pl","409","Yes","Yes","<1% of pl"
"bio.br","248","Yes","Yes","<1% of br"
"bir.ru","57","Yes","Yes","<1% of ru"
"biz.at","147","Yes","Yes","<1% of at"
"biz.az","1","Yes","Yes","<1% of az"
"biz.id","38","Yes","No","<1% of id"
"biz.ni","6","Yes","No","16% of ni"
"biz.pl","3788","Yes","Yes","<1% of pl"
"biz.tr","1060","Yes","Yes","<1% of tr"
"biz.ua","581","Yes","Yes","<1% of ua"
"biz.vn","125","Yes","No","<1% of vn"
"bj.cn","4793","Yes","No","<1% of cn"
"bolt.hu","239","Yes","Yes","<1% of hu"
"brand.se","5","Yes","Yes","<1% of se"
"bryansk.su","18","Yes","Yes","<1% of su"
"bukhara.su","1","No","Yes","<1% of su"
"bv.nl","8061","Yes","Yes","<1% of nl"
